Disease,Serotype,Reason,Country,Code,Unit type,Latitude,Longitude,Admin1,OBStartDate,OBEndDate,Species,Susceptible,Cases,Deaths,Destroyed,Slaughtered
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.87,Limburg,28/08/06,13/12/06,Sheep,10,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.77,5.45,Limburg,02/09/06,13/12/06,Sheep,2,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.97,5.1,Limburg,03/09/06,13/12/06,Sheep,62,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.32,5.72,Li_ge,15/09/06,13/12/06,Cattle,8,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.4,5.17,Namur,13/09/06,13/12/06,Cattle,341,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.57,5.15,Li_ge,14/09/06,13/12/06,Cattle,81,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.63,5.82,Li_ge,21/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.15,4.98,Antwerpen,12/09/06,13/12/06,Sheep,27,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.02,3.8,Namur,13/09/06,13/12/06,Sheep,7,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.77,4.23,Vlaams Brabant,13/09/06,13/12/06,Sheep,10,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.92,5,Vlaams Brabant,13/09/06,13/12/06,Sheep,7,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.53,5.2,Li_ge,12/09/06,13/12/06,Sheep,8,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,4.45,Vlaams Brabant,14/09/06,13/12/06,Sheep,79,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.87,5.32,Limburg,25/09/06,13/12/06,Cattle,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.05,3.65,Oost-Vlaanderen,22/09/06,13/12/06,Cattle,29,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.1,3.7,Oost-Vlaanderen,23/09/06,13/12/06,Cattle,46,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.93,5.17,Limburg,21/09/06,13/12/06,Cattle,6,6,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.9,3.52,Oost-Vlaanderen,23/09/06,13/12/06,Cattle,6,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,5.18,Limburg,29/09/06,13/12/06,Cattle,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.32,4.43,Hainaut,26/09/06,13/12/06,Cattle,16,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.63,4.75,Brabant Wallon,25/09/06,13/12/06,Cattle,32,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,4.85,Brabant Wallon,26/09/06,13/12/06,Cattle,50,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.23,3.52,Namur,28/09/06,13/12/06,Cattle,53,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.05,4.2,Antwerpen,27/09/06,13/12/06,Cattle,50,1,0,0,0
